[NR_024540, 44]
[NR_106781, 3598]
[NR_033908, 1]
[NR_024321, 2]
[NR_047519, 21]
[NR_047521, 21]
[NR_047523, 21]
[NR_047524, 20]
[NR_047525, 21]
[NR_047526, 1]
[NR_027055, 9]
[NR_026874, 1]
[NR_122045, 1]
[NM_152486, 9]
[NM_015658, 42]
[NM_198317, 3]
[NM_005101, 4]
[NM_198576, 86]
[NM_017891, 4]
[NM_003327, 1]
[NM_016176, 57]
[NM_016547, 58]
[NM_080605, 11]
[NM_058167, 16]
[NM_194315, 16]
[NM_194457, 16]
[NM_194458, 16]
[NM_001130413, 2]
[NR_037668, 2]
[NM_030649, 9]
[NM_153339, 3]
[NM_001256456, 16]
[NM_001256460, 16]
[NM_001256462, 14]
[NM_001256463, 14]
[NM_017871, 16]
[NM_001029885, 14]
[NM_004421, 12]
[NM_001282585, 7]
[NM_001282582, 9]
[NM_001282583, 9]
[NM_001282584, 9]
[NM_032348, 9]
[NM_001127229, 26]
[NM_017900, 26]
[NM_001127230, 26]
[NM_030937, 32]
[NM_001039577, 14]
[NR_015434, 17]
[NM_017971, 44]
[NM_001145210, 8]
[NM_001243535, 8]
[NM_001243536, 8]
[NM_022834, 23]
[NM_199121, 19]
[NM_001039211, 18]
[NM_031921, 3]
[NM_018188, 7]
[NM_001170535, 6]
[NM_001170536, 6]
[NM_014188, 78]
[NM_001242659, 5]
[NM_001170686, 7]
[NM_001170688, 7]
[NM_080875, 8]
[NM_001170687, 8]
[NM_001170689, 7]
[NR_033183, 7]
[NM_001291345, 18]
[NM_001787, 18]
[NM_033486, 18]
[NM_033487, 14]
[NM_033489, 18]
[NM_033490, 14]
[NM_001110781, 13]
[NM_001290264, 13]
[NM_024011, 20]
[NM_033529, 20]
[NM_001199787, 2]
[NM_182838, 18]
[NM_001198993, 40]
[NM_001198994, 40]
[NM_001198995, 40]
[NM_023018, 41]
[NM_001282538, 337]
[NM_001282539, 340]
[NM_002074, 340]
[NM_178545, 1]
[NM_001080484, 2]
[NM_002744, 22]
[NM_001033581, 20]
[NM_001033582, 20]
[NM_001242874, 20]
[NM_001146310, 16]
[NM_001256945, 14]
[NM_001282671, 17]
[NM_001282672, 17]
[NM_001282673, 15]
[NM_001256947, 3]
[NM_001282670, 6]
[NM_182533, 4]
[NR_046427, 3]
[NM_001256946, 5]
[NM_003036, 66]
[NR_024489, 5]
[NM_001301060, 1]
[NM_024848, 1]
[NR_125361, 1]
[NM_007033, 111]
[NM_002617, 20]
[NM_153818, 20]
[NM_018216, 10]
[NM_001010926, 1]
[NR_037844, 6]
[NM_001297605, 19]
[NM_003820, 19]
[NM_001195736, 8]
[NM_001195737, 8]
[NM_001195738, 8]
[NM_001195740, 8]
[NM_001195741, 8]
[NM_152371, 8]
[NR_036637, 8]
[NR_036638, 8]
[NM_033467, 1]
[NR_015440, 29]
[NR_024371, 7]
[NM_022114, 21]
[NM_199454, 21]
[NM_014448, 6]
[NM_001409, 7]
[NM_182752, 80]
[NM_017818, 5]
[NR_033708, 10]
